sampMatCode.base.building.DESC,organic,mean,sum,count
Gold of pleasure seeds,0,0.003432494279176201,3,874
Golden kiwifruit,0,0.0,0,1817
Goose carcase,0,0.0,0,2
"Goose fat, processed",0,0.0,0,580
Goose fresh meat,0,0.0,0,59
Goose fresh meat,1,0.0,0,10
"Goose, fresh fat tissue",0,0.0,0,750
"Goose, fresh fat tissue",1,0.0,0,39
"Gooseberries (green, red and yellow)",0,0.0002797273929406978,11,39324
Graham flour,0,0.0,0,195
Granadillas,0,0.006684898207231844,22,3291
Granate apples,0,0.0013056524826485657,342,261938
Granate apples,1,0.0,0,2446
Granate apples and similar-,0,0.0009560229445506692,1,1046
Granate apples and similar-,1,0.0,0,187
Grape leaves,0,0.013907558680591459,269,19342
Grape leaves,1,0.0,0,362
Grape seed oil,0,0.01364522417153996,21,1539
Grapefruits,0,0.00014369120004840126,38,264456
Grapefruits,1,0.0,0,6398
Grapefruits and similar-,0,0.000661875945537065,7,10576
Grapefruits and similar-,1,0.0,0,209
Grapes and similar fruits,0,0.0,0,172
Greater galangal roots,0,0.0,0,431
Greek bush basil,0,0.0,0,431
Green onions,0,0.00020861583394179617,4,19174
Groats,0,0.0,0,3
Ground cherries (physalis etc.),0,0.0004136504653567735,2,4835
Guar beans (dry),0,0.0,0,1
Guavas,0,0.004113345521023766,18,4376
Guavas and similar-,0,0.0028169014084507044,1,355
Guinea-fowl fresh meat,0,0.0,0,35
"Ham, pork",0,0.0,0,108
"Hard cheese (cheddar, emmental type)",0,0.0,0,371
"Hard cheese (cheddar, emmental type)",1,0.0,0,78
Hazelnut infusion leaves,0,0.0,0,308
Hazelnuts,0,0.0,0,16745
Hazelnuts,1,0.0,0,2507
Hazelnuts and similar-,0,0.0,0,1268
Head cabbages,0,0.00014023475297648264,10,71309
Head cabbages,1,0.0,0,904
Head cabbages and similar-,0,0.00010264832683227263,1,9742
Head cabbages and similar-,1,0.0,0,208
